date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:58	430/430	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2014:55:08%20GMT	http://crowdpesa.co.ke/google_analytics_auto.js	C:/My%20Web%20Sites/crowdpesa/crowdpesa.co.ke/google_analytics_auto.js	(from http://crowdpesa.co.ke/)
14:09:58	94840/94840	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2009:24:14%20GMT	http://www.crowdpesa.co.ke/js/jquery.min.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/js/jquery.min.js	(from http://crowdpesa.co.ke/)
14:10:00	19229/19229	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2012%20Feb%202014%2019:04:09%20GMT	http://crowdpesa.co.ke/images/down_arrow1.png	C:/My%20Web%20Sites/crowdpesa/crowdpesa.co.ke/images/down_arrow1.png	(from http://crowdpesa.co.ke/)
14:10:01	3084/3084	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Jan%202016%2010:28:17%20GMT	http://www.crowdpesa.co.ke/logo/crowdpesa.jpg	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/logo/crowdpesa.jpg	(from http://crowdpesa.co.ke/)
14:10:01	6278/6278	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2009:24:48%20GMT	http://www.crowdpesa.co.ke/js/swfobject.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/js/swfobject.js	(from http://crowdpesa.co.ke/)
14:10:01	126033/126033	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2011:16:13%20GMT	http://www.crowdpesa.co.ke/files/cache/1448875427d7716810d825f4b55d18727c3ccb24e6.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/files/cache/1448875427d7716810d825f4b55d18727c3ccb24e6.js	(from http://crowdpesa.co.ke/)
14:10:02	619/619	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:05:24%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/football.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/football.png	(from http://crowdpesa.co.ke/)
14:10:02	157795/157795	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2009:23:54%20GMT	http://www.crowdpesa.co.ke/js/facebook_invite.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/js/facebook_invite.js	(from http://crowdpesa.co.ke/)
14:10:03	20217/20217	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2009:24:21%20GMT	http://www.crowdpesa.co.ke/js/jquery.validate.min.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/js/jquery.validate.min.js	(from http://crowdpesa.co.ke/)
14:10:05	2838/2838	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:05:43%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/header_bg.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/header_bg.png	(from http://www.crowdpesa.co.ke/css/templates/blue/combine.css)
14:10:06	49590/49590	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2011:16:14%20GMT	http://www.crowdpesa.co.ke/files/cache/1448875487112bcf1aaa41c9457abd2b6593994191.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/files/cache/1448875487112bcf1aaa41c9457abd2b6593994191.js	(from http://crowdpesa.co.ke/)
14:10:06	5355/5355	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:04:49%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/button.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/button.png	(from http://www.crowdpesa.co.ke/css/templates/blue/combine.css)
14:10:07	2823/2823	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:06:11%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/link2_bg.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/link2_bg.png	(from http://www.crowdpesa.co.ke/css/templates/blue/combine.css)
14:10:07	276730/276730	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Nov%202015%2009:24:33%20GMT	http://www.crowdpesa.co.ke/js/jwplayer.js	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/js/jwplayer.js	(from http://crowdpesa.co.ke/)
14:10:08	4904/4904	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:04:50%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/button1.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/button1.png	(from http://www.crowdpesa.co.ke/css/templates/blue/combine.css)
14:10:08	2881/2881	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Nov%202015%2009:06:00%20GMT	http://www.crowdpesa.co.ke/css/templates/blue/images/hsearcch_blk_bg.png	C:/My%20Web%20Sites/crowdpesa/www.crowdpesa.co.ke/css/templates/blue/images/hsearcch_blk_bg.png	(from http://www.crowdpesa.co.ke/css/templates/blue/combine.css)
